,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,DISPLAY_CITY_MARKET_NAME_FULL,LATITUDE,LONGITUDE
1153,ATL,Hartsfield-Jackson Atlanta International,"Atlanta, GA","Atlanta, GA (Metropolitan Area)",33.64,-84.43
3386,CLT,Charlotte Douglas International,"Charlotte, NC","Charlotte, NC",35.21,-80.95
4035,DAL,Dallas Love Field,"Dallas, TX","Dallas/Fort Worth, TX",32.85,-96.85
4146,DEN,Denver International,"Denver, CO","Denver, CO",39.86,-104.67
4160,DFW,Dallas/Fort Worth International,"Dallas/Fort Worth, TX","Dallas/Fort Worth, TX",32.9,-97.04
5142,EWR,Newark Liberty International,"Newark, NJ","New York City, NY (Metropolitan Area)",40.69,-74.17
6809,HOU,William P Hobby,"Houston, TX","Houston, TX",29.64,-95.28
7702,JFK,John F. Kennedy International,"New York, NY","New York City, NY (Metropolitan Area)",40.64,-73.78
8848,LAS,Harry Reid International,"Las Vegas, NV","Las Vegas, NV",36.08,-115.15
8862,LAX,Los Angeles International,"Los Angeles, CA","Los Angeles, CA (Metropolitan Area)",33.94,-118.41
9901,MCO,Orlando International,"Orlando, FL","Orlando, FL",28.43,-81.31
10221,MIA,Miami International,"Miami, FL","Miami, FL (Metropolitan Area)",25.79,-80.29
10843,MSY,Louis Armstrong New Orleans International,"New Orleans, LA","New Orleans, LA",29.99,-90.25
12291,ORD,Chicago O'Hare International,"Chicago, IL","Chicago, IL",41.97,-87.91
12728,PDX,Portland International,"Portland, OR","Portland, OR",45.59,-122.6
12881,PHX,Phoenix Sky Harbor International,"Phoenix, AZ","Phoenix, AZ",33.43,-112.01
13844,RDU,Raleigh-Durham International,"Raleigh/Durham, NC","Raleigh/Durham, NC",35.88,-78.78
14611,SEA,Seattle/Tacoma International,"Seattle, WA","Seattle, WA",47.45,-122.31
14684,SFO,San Francisco International,"San Francisco, CA","San Francisco, CA (Metropolitan Area)",37.62,-122.38
14855,SJC,Norman Y. Mineta San Jose International,"San Jose, CA","San Francisco, CA (Metropolitan Area)",37.36,-121.94
14897,SJU,Luis Munoz Marin International,"San Juan, PR","San Juan, PR",18.44,-66
15079,SMF,Sacramento International,"Sacramento, CA","Sacramento, CA",38.7,-121.59
15133,SNA,John Wayne Airport-Orange County,"Santa Ana, CA","Los Angeles, CA (Metropolitan Area)",33.68,-117.87
15450,STL,St Louis Lambert International,"St. Louis, MO","St. Louis, MO",38.75,-90.37
